fecha,carpeta,estado,detalle
2026-09-25T14:22:59-04:00,001_2020-03-14_B9tyTxmJk9w,publicado,18075918779427493
2026-09-25T16:13:55-04:00,002_2020-04-14_B-94E9EpMVJ,publicado,18175473184451306
2026-09-25T17:44:12-04:00,003_2020-06-26_CB5WqhcJdZ5,publicado,17909271447501071
2026-09-25T19:10:13-04:00,004_2021-04-27_COLlhUHJdnq,publicado,17948040462318281
2026-09-25T20:36:32-04:00,005_2021-08-04_CSLMTWEIHeF,publicado,18112244825327761
2026-09-25T22:02:33-04:00,006_2021-08-21_CS26mNxgg17,publicado,18368983438212416
2026-09-26T08:03:52-04:00,007_2021-09-03_CTYHq6UJ58R,publicado,18010625324962947
2026-09-26T09:29:27-04:00,018_2022-08-05_Cg4quqNgKg-,publicado,18115774208001778
2026-09-26T15:17:08-04:00,019_2022-08-05_Cg5HDedJzjg,error,"400 {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""A9jeM0yKf5Q_BK7eHhsCAJc""}}"
2026-09-26T15:22:19-04:00,019_2022-08-05_Cg5HDedJzjg,error,"400 {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""A361oGaixQaNs-S81Xi6ZC8""}}"
2026-09-26T15:27:20-04:00,019_2022-08-05_Cg5HDedJzjg,error,"400 {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""AmGFx2vy4RoBDLKElCkcWT4""}}"
2026-09-26T15:32:22-04:00,020_2022-08-22_ChkPSbggRP9,error,"400 {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""A_VZPm6pt3uFNwAsdHvYiHB""}}"
